dataset,disease,downsample_method,data_collection,obs_interval,kld
shed7,measles,upperbound,repeat4times,10,0.031427397503005924
shed7,measles,upperbound,repeat4times,30,0.1280238638044434
shed7,measles,upperbound,repeat4times,60,0.23829256120128078
shed7,measles,upperbound,repeat4times,90,0.2744313616184082
shed7,measles,upperbound,repeat4times,180,0.2955737263347572
shed7,measles,upperbound,repeat4times,360,0.3004784565590509
shed7,covid19,upperbound,repeat4times,10,0.02084595396120142
shed7,covid19,upperbound,repeat4times,30,0.10825720981017735
shed7,covid19,upperbound,repeat4times,60,0.23661446198331829
shed7,covid19,upperbound,repeat4times,90,0.3024965654777692
shed7,covid19,upperbound,repeat4times,180,0.46471027930409997
shed7,covid19,upperbound,repeat4times,360,0.627308911800893
shed7,covid19alpha,upperbound,repeat4times,10,0.018658401822949488
shed7,covid19alpha,upperbound,repeat4times,30,0.11391411690693524
shed7,covid19alpha,upperbound,repeat4times,60,0.2637606765477939
shed7,covid19alpha,upperbound,repeat4times,90,0.32710162888659
shed7,covid19alpha,upperbound,repeat4times,180,0.49453168400274655
shed7,covid19alpha,upperbound,repeat4times,360,0.6056169120302178
shed7,covid19beta,upperbound,repeat4times,10,0.02306946525324274
shed7,covid19beta,upperbound,repeat4times,30,0.10776665079642254
shed7,covid19beta,upperbound,repeat4times,60,0.25532643237116814
shed7,covid19beta,upperbound,repeat4times,90,0.32545334716072083
shed7,covid19beta,upperbound,repeat4times,180,0.5056445579665605
shed7,covid19beta,upperbound,repeat4times,360,0.6102081178819887
shed7,covid19delta,upperbound,repeat4times,10,0.03169843141185003
shed7,covid19delta,upperbound,repeat4times,30,0.12909776647209348
shed7,covid19delta,upperbound,repeat4times,60,0.27604378496157245
shed7,covid19delta,upperbound,repeat4times,90,0.3628978398631987
shed7,covid19delta,upperbound,repeat4times,180,0.4991197941668018
shed7,covid19delta,upperbound,repeat4times,360,0.5710378222737652
shed8,flu,upperbound,repeat4times,10,0.0422829692977556
shed8,flu,upperbound,repeat4times,30,0.1608572651611444
shed8,flu,upperbound,repeat4times,60,0.29790043662261745
shed8,flu,upperbound,repeat4times,90,0.4335950921186752
shed8,flu,upperbound,repeat4times,180,0.6354169908801575
shed8,flu,upperbound,repeat4times,360,0.7472358968962094
shed8,SARS,upperbound,repeat4times,10,0.024736710753598443
shed8,SARS,upperbound,repeat4times,30,0.16228846178596198
shed8,SARS,upperbound,repeat4times,60,0.35946364729510744
shed8,SARS,upperbound,repeat4times,90,0.5028692739295874
shed8,SARS,upperbound,repeat4times,180,0.6898024626232254
shed8,SARS,upperbound,repeat4times,360,0.7890950982550101
shed8,fifth,upperbound,repeat4times,10,0.027507482933215355
shed8,fifth,upperbound,repeat4times,30,0.13977250388391876
shed8,fifth,upperbound,repeat4times,60,0.29969752633714564
shed8,fifth,upperbound,repeat4times,90,0.43691237947984246
shed8,fifth,upperbound,repeat4times,180,0.6503930251389772
shed8,fifth,upperbound,repeat4times,360,0.7917317642753879
shed8,pertussis,upperbound,repeat4times,10,0.046419100993656676
shed8,pertussis,upperbound,repeat4times,30,0.1947335693126775
shed8,pertussis,upperbound,repeat4times,60,0.28603352622392686
shed8,pertussis,upperbound,repeat4times,90,0.33973087388306134
shed8,pertussis,upperbound,repeat4times,180,0.38233041755816377
shed8,pertussis,upperbound,repeat4times,360,0.41953508045401344
shed8,chickenpox,upperbound,repeat4times,10,0.03086798899709868
shed8,chickenpox,upperbound,repeat4times,30,0.14013608595675842
shed8,chickenpox,upperbound,repeat4times,60,0.20528300661443355
shed8,chickenpox,upperbound,repeat4times,90,0.24680660532790685
shed8,chickenpox,upperbound,repeat4times,180,0.2760185680053897
shed8,chickenpox,upperbound,repeat4times,360,0.27862784578861755
shed8,MERS,upperbound,repeat4times,10,0.05673873185265513
shed8,MERS,upperbound,repeat4times,30,0.16564233845610032
shed8,MERS,upperbound,repeat4times,60,0.2756918869600758
shed8,MERS,upperbound,repeat4times,90,0.3598948078008205
shed8,MERS,upperbound,repeat4times,180,0.5783239962645562
shed8,MERS,upperbound,repeat4times,360,0.7386322928041466
shed8,diphtheria,upperbound,repeat4times,10,0.030054747534662533
shed8,diphtheria,upperbound,repeat4times,30,0.2619633718549521
shed8,diphtheria,upperbound,repeat4times,60,0.4582189661299341
shed8,diphtheria,upperbound,repeat4times,90,0.5605199222906112
shed8,diphtheria,upperbound,repeat4times,180,0.6976866632867291
shed8,diphtheria,upperbound,repeat4times,360,0.7871814472988597
shed8,measles,upperbound,repeat4times,10,0.026924184962211703
shed8,measles,upperbound,repeat4times,30,0.10976457325149579
shed8,measles,upperbound,repeat4times,60,0.137438581073638
shed8,measles,upperbound,repeat4times,90,0.15053239420575248
shed8,measles,upperbound,repeat4times,180,0.143681615793452
shed8,measles,upperbound,repeat4times,360,0.148215400937666
shed8,covid19,upperbound,repeat4times,10,0.029857647355086996
shed8,covid19,upperbound,repeat4times,30,0.2194672757443437
shed8,covid19,upperbound,repeat4times,60,0.41969700211980077
shed8,covid19,upperbound,repeat4times,90,0.5547857627368689
shed8,covid19,upperbound,repeat4times,180,0.7236022129972931
shed8,covid19,upperbound,repeat4times,360,0.8176590088062106
shed8,covid19alpha,upperbound,repeat4times,10,0.03513989830862702
shed8,covid19alpha,upperbound,repeat4times,30,0.26047643135342363
shed8,covid19alpha,upperbound,repeat4times,60,0.4694948366511033
shed8,covid19alpha,upperbound,repeat4times,90,0.582272158984751
shed8,covid19alpha,upperbound,repeat4times,180,0.7078557394582707
shed8,covid19alpha,upperbound,repeat4times,360,0.7704968083993806
shed8,covid19beta,upperbound,repeat4times,10,0.040570903506247695
shed8,covid19beta,upperbound,repeat4times,30,0.26537069213384606
shed8,covid19beta,upperbound,repeat4times,60,0.47833637874063484
shed8,covid19beta,upperbound,repeat4times,90,0.6014225561453129
shed8,covid19beta,upperbound,repeat4times,180,0.7248637917326973
shed8,covid19beta,upperbound,repeat4times,360,0.7945409288945811
shed8,covid19delta,upperbound,repeat4times,10,0.05451526489989098
shed8,covid19delta,upperbound,repeat4times,30,0.2937043824090353
shed8,covid19delta,upperbound,repeat4times,60,0.45186369123260073
shed8,covid19delta,upperbound,repeat4times,90,0.5246742663018794
shed8,covid19delta,upperbound,repeat4times,180,0.5879953546445009
shed8,covid19delta,upperbound,repeat4times,360,0.6109818678282204
shed9,flu,upperbound,repeat4times,10,0.06518735807845924
shed9,flu,upperbound,repeat4times,30,0.3395749931078856
shed9,flu,upperbound,repeat4times,60,0.8273310551167586
shed9,flu,upperbound,repeat4times,90,1.1025058762370155
shed9,flu,upperbound,repeat4times,180,1.36314618555888
shed9,flu,upperbound,repeat4times,360,1.465470875325376
shed9,SARS,upperbound,repeat4times,10,0.08651541568761953
shed9,SARS,upperbound,repeat4times,30,0.43062271596381324
shed9,SARS,upperbound,repeat4times,60,0.7450926491011571
shed9,SARS,upperbound,repeat4times,90,0.8771067898774253
shed9,SARS,upperbound,repeat4times,180,0.9985090851475057
shed9,SARS,upperbound,repeat4times,360,1.0861253026642619
shed9,fifth,upperbound,repeat4times,10,0.1028410139311333
